Census,GSAFAC,Type,Column Reference
AUDITYEAR + DBKEY,General.report_id,TEXT,"gen.report_id,"
AUDITYEAR,General.audit_year,TEXT,gen.report_year
TITLE,note_title,TEXT,note.note_title
CONTENT,content,TEXT,note.content
